TipusCasData,RegioSanitariaDescripcio,EdatRang,Total
2020-03-01,BARCELONA CIUTAT,20-29,1
2020-03-02,METROPOLITANA SUD,60-69,1
2020-03-02,CATALUNYA CENTRAL,30-39,2
2020-03-02,BARCELONA CIUTAT,30-39,1
2020-03-02,BARCELONA CIUTAT,50-59,1
2020-03-03,BARCELONA CIUTAT,60-69,1
2020-03-03,BARCELONA CIUTAT,40-49,1
2020-03-03,BARCELONA CIUTAT,30-39,1
2020-03-03,CATALUNYA CENTRAL,50-59,1
2020-03-03,GIRONA,20-29,1
2020-03-03,METROPOLITANA SUD,30-39,1
2020-03-03,METROPOLITANA NORD,50-59,1
2020-03-03,METROPOLITANA SUD,40-49,1
2020-03-03,METROPOLITANA SUD,60-69,1
2020-03-03,METROPOLITANA NORD,30-39,1
2020-03-04,BARCELONA CIUTAT,50-59,1
2020-03-04,BARCELONA CIUTAT,70-79,1
2020-03-04,BARCELONA CIUTAT,80-89,1
2020-03-04,GIRONA,60-69,1
2020-03-04,METROPOLITANA NORD,40-49,1
2020-03-04,CATALUNYA CENTRAL,60-69,1
2020-03-04,METROPOLITANA SUD,80-89,1
2020-03-05,BARCELONA CIUTAT,40-49,2
2020-03-05,BARCELONA CIUTAT,50-59,2
2020-03-05,BARCELONA CIUTAT,30-39,1
2020-03-05,BARCELONA CIUTAT,70-79,1
2020-03-05,BARCELONA CIUTAT,20-29,1
2020-03-05,CATALUNYA CENTRAL,60-69,2
2020-03-05,GIRONA,60-69,2
2020-03-05,METROPOLITANA NORD,40-49,1
2020-03-05,METROPOLITANA NORD,50-59,1
2020-03-05,METROPOLITANA NORD,60-69,1
2020-03-05,METROPOLITANA SUD,50-59,1
2020-03-05,METROPOLITANA SUD,70-79,1
2020-03-05,BARCELONA CIUTAT,60-69,2
2020-03-06,BARCELONA CIUTAT,60-69,2
2020-03-06,GIRONA,60-69,1
2020-03-06,BARCELONA CIUTAT,30-39,1
2020-03-06,BARCELONA CIUTAT,40-49,1
2020-03-06,METROPOLITANA NORD,50-59,1
2020-03-06,GIRONA,20-29,1
2020-03-06,METROPOLITANA NORD,60-69,1
2020-03-06,METROPOLITANA SUD,70-79,1
2020-03-06,METROPOLITANA NORD,80-89,1
